xtime(milli),GSR,Volt
0.18,466,464
1.16,465,465
2.06,465,465
2.95,465,466
3.86,465,466
4.74,465,466
5.64,464,465
6.54,465,466
7.43,465,465
8.32,465,465
9.22,466,464
10.11,465,464
11.06,466,464
12.02,465,465
13.29,464,466
14.57,465,465
15.84,465,465
17.12,464,465
18.39,465,465
19.67,464,464
20.94,465,466
22.22,465,464
23.49,465,465
24.77,466,464
26.04,465,465
27.32,466,465
28.59,464,464
29.87,466,465
31.14,465,466
32.42,464,465
33.69,466,464
34.97,465,465
36.24,465,466
37.52,465,464
38.79,464,465
40.07,465,466
41.34,465,464
42.62,464,464
43.89,464,466
45.17,465,465
46.44,465,465
47.72,466,465
48.99,465,466
50.27,464,465
51.54,465,464
52.82,464,464
54.09,464,466
55.37,465,465
56.64,465,465
57.92,466,465
59.19,464,465
60.47,464,464
61.74,465,465
63.02,464,465
64.29,464,464
65.57,464,464
66.84,464,464
68.12,465,464
69.39,465,464
70.68,465,465
71.94,465,465
73.22,465,466
74.49,466,464
75.77,465,465
77.04,465,466
78.32,465,464
79.59,465,465
80.87,465,464
82.14,465,465
83.42,465,465
84.69,465,464
85.97,465,464
87.24,464,465
88.52,465,465
89.79,464,466
91.07,464,464
92.34,465,465
93.62,466,464
94.89,465,464
96.17,465,464
97.44,466,465
98.72,465,464
99.99,464,465
101.27,465,465
102.63,465,465
103.99,465,465
105.35,465,465
106.71,464,465
108.07,465,464
109.43,465,466
110.79,464,464
112.15,464,465
113.51,465,464
114.87,464,465
116.23,465,466
117.59,464,464
118.95,464,465
120.31,465,464
121.67,464,464
123.03,465,464
124.39,465,465
125.75,465,465
127.11,464,465
128.47,465,465
129.83,465,465
131.19,464,465
132.55,465,464
133.91,464,465
135.27,465,465
136.63,465,465
137.99,466,464
139.35,464,465
140.71,465,464
142.07,464,466
143.43,464,465
144.79,465,465
146.15,464,465
147.51,464,465
148.87,465,464
150.23,465,465
151.59,464,465
152.95,465,465
154.31,465,464
155.67,464,464
157.03,465,465
158.39,465,464
159.76,464,464
161.11,465,464
162.47,464,465
163.83,464,465
165.19,465,465
166.55,464,465
167.91,465,464
169.27,465,465
170.63,465,464
171.99,464,465
173.35,464,465
174.71,464,464
176.07,465,464
177.43,464,465
178.79,464,464
180.15,465,464
181.51,465,464
182.87,464,464
184.23,464,465
185.59,465,464
186.95,465,464
188.31,465,465
189.67,465,464
191.03,465,466
192.39,464,465
193.75,464,464
195.11,464,465
196.47,465,465
197.83,464,465
199.19,464,465
200.55,464,464
201.91,465,466
203.27,465,464
204.63,465,465
205.99,465,464
207.35,465,465
208.71,465,464
210.07,465,465
211.43,464,464
212.79,465,465
214.15,464,465
215.51,464,465
216.87,464,464
218.23,466,465
219.59,464,464
220.95,464,465
222.31,464,465
223.67,465,464
225.03,464,465
226.39,464,465
227.75,465,465
229.11,465,464
230.47,464,464
231.83,464,465
233.19,464,464
234.55,465,464
235.91,465,465
237.27,464,466
238.63,465,465
239.99,465,465
241.35,464,464
242.71,465,465
244.07,464,465
245.43,465,464
246.80,464,465
248.15,464,464
249.51,464,465
250.87,465,465
252.23,465,464
253.59,464,465
254.95,464,465
256.31,464,464
257.67,464,465
259.03,464,464
260.39,465,464
261.75,464,464
263.11,465,464
264.47,465,465
265.83,464,464
267.19,464,464
268.55,464,465
269.91,464,465
271.27,465,464
272.63,464,465
273.99,464,465
275.35,464,465
276.71,464,464
278.07,464,465
279.43,465,465
280.79,464,465
282.15,465,464
283.51,464,464
284.87,465,464
286.23,465,465
287.59,464,464
288.95,464,464
290.31,465,465
291.67,465,464
293.03,464,464
294.39,464,465
295.75,464,465
297.11,464,464
298.47,464,465
299.83,465,465
301.19,464,465
302.55,464,465
303.91,464,465
305.27,464,465
306.63,464,464
307.99,465,465
309.35,465,465
310.71,465,464
